code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E12000008,south east,2012-12-01,28175,7.54,34416,43,8724737,4477000,NaN,NaN,0
E12000009,south west,2012-12-01,24581,7.55,29058,47,5339637,2692000,NaN,NaN,0
E13000001,inner london,2012-12-01,38225,NaN,55931,NaN,3284967,NaN,32796,1424047,0
E13000002,outer london,2012-12-01,29382,NaN,34595,NaN,5023402,NaN,126676,1958983,0
E92000001,england,2012-12-01,26822,7.44,33529,43,53493729,27117000,13303728,23110962,0
K02000001,united kingdom,2012-12-01,26472,NaN,32814,NaN,63705030,31957000,NaN,NaN,0
K03000001,great britain,2012-12-01,26540,NaN,32974,NaN,61881396,31132000,NaN,NaN,0
K04000001,england and wales,2012-12-01,26633,NaN,33195,NaN,56567796,28488000,NaN,NaN,0
N92000002,northern ireland,2012-12-01,23944,7.7,27784,NaN,1823634,825000,NaN,NaN,0
S92000003,scotland,2012-12-01,25780,7.53,30792,NaN,5313600,2643000,NaN,NaN,0
W92000004,wales,2012-12-01,23617,7.44,26950,NaN,3074067,1371000,NaN,NaN,0
E09000001,city of london,2013-12-01,54202,NaN,83403,39,7648,463000,315,5566,1
E09000002,barking and dagenham,2013-12-01,32248,7.01,37214,25,194352,54000,3780,71937,1
E09000003,barnet,2013-12-01,29353,7.4,33766,36,369088,159000,8675,142835,1
E09000004,bexley,2013-12-01,28512,7.28,32463,55,236687,80000,6429,95658,1
E09000005,brent,2013-12-01,28034,7.41,34480,41,317264,125000,4323,113305,1
E09000006,bromley,2013-12-01,28126,7.53,34133,50,317899,129000,15013,136304,1
E09000007,camden,2013-12-01,36336,7.11,45539,29,229719,355000,2179,100760,1
E09000008,croydon,2013-12-01,30939,7.36,35213,42,372752,130000,8650,149697,1
E09000009,ealing,2013-12-01,29733,7.24,33210,40,342494,152000,5554,128862,1
E09000010,enfield,2013-12-01,25805,7.28,30011,39,320524,118000,8220,122888,1
E09000011,greenwich,2013-12-01,29251,7.15,33060,39,264008,86000,5044,104623,1
E09000012,hackney,2013-12-01,33097,7.05,39044,25,257379,111000,1905,104365,1
E09000013,hammersmith and fulham,2013-12-01,34554,7.4,42349,21,178685,141000,1715,83281,1
E09000014,haringey,2013-12-01,29609,7.28,32408,36,263386,84000,2960,106033,1
E09000015,harrow,2013-12-01,25784,7.51,31504,49,243373,78000,5046,87709,1
E09000016,havering,2013-12-01,29858,7.51,32758,32,242080,91000,11446,99463,1
E09000017,hillingdon,2013-12-01,35738,7.5,40911,43,286808,213000,11570,106363,1
E09000018,hounslow,2013-12-01,31173,7.33,38522,35,262407,167000,5659,97704,1
E09000019,islington,2013-12-01,37325,7.35,56967,33,215671,220000,1486,99015,1
E09000020,kensington and chelsea,2013-12-01,31307,7.67,37906,25,155594,141000,1238,84957,1
E09000021,kingston upon thames,2013-12-01,29450,7.43,35167,46,166793,80000,3726,65625,1
E09000022,lambeth,2013-12-01,35397,7.01,43350,21,314242,168000,2725,133598,1
E09000023,lewisham,2013-12-01,30478,7.34,30909,18,286180,82000,3532,120637,1
E09000024,merton,2013-12-01,28610,7.43,31960,39,203223,96000,3762,81842,1
E09000025,newham,2013-12-01,29334,7.24,32807,18,318227,104000,3857,104791,1
E09000026,redbridge,2013-12-01,31215,7.47,33442,29,288272,84000,5644,102138,1
E09000027,richmond upon thames,2013-12-01,31997,7.6,36611,43,191365,95000,5876,83176,1
E09000028,southwark,2013-12-01,36198,7.58,43807,34,298465,256000,2991,125566,1
E09000029,sutton,2013-12-01,30061,7.49,33223,37,195914,77000,4385,80510,1
E09000030,tower hamlets,2013-12-01,46441,7.5,73376,28,272890,269000,2158,109215,1
E09000031,waltham forest,2013-12-01,NaN,7.34,31143,33,265797,81000,3881,99251,1
E09000032,wandsworth,2013-12-01,31491,7.43,36917,20,310516,134000,3522,136558,1
E09000033,westminster,2013-12-01,36946,7.53,51094,21,226841,717000,2203,119837,1
E12000001,north east,2013-12-01,24113,7.47,28460,38,2610481,1132000,NaN,NaN,0
E12000002,north west,2013-12-01,25111,7.42,29569,46,7103261,3464000,NaN,NaN,0
E12000003,yorkshire and the humber,2013-12-01,24933,7.51,28997,44,5337711,2523000,NaN,NaN,0
E12000004,east midlands,2013-12-01,24918,7.55,29415,46,4598431,2186000,NaN,NaN,0
E12000005,west midlands,2013-12-01,25328,7.49,30162,42,5674712,2700000,NaN,NaN,0
E12000006,east,2013-12-01,26514,NaN,31310,49,5954316,2888000,NaN,NaN,0
E12000007,london,2013-12-01,35173,7.36,47962,34,8416543,5341000,159471,3404068,0
E12000008,south east,2013-12-01,28315,7.6,34214,44,8792766,4565000,NaN,NaN,0
E12000009,south west,2013-12-01,25242,7.56,30016,47,5377596,2745000,NaN,NaN,0
E13000001,inner london,2013-12-01,38274,NaN,55061,NaN,3335443,NaN,32796,1434179,0
E13000002,outer london,2013-12-01,30148,NaN,34950,NaN,5081100,NaN,126676,1969890,0
E92000001,england,2013-12-01,27372,7.5,33967,43,53865817,27545000,13303728,23235684,0
K02000001,united kingdom,2013-12-01,27011,NaN,33283,NaN,64105654,32408000,NaN,NaN,0
K03000001,great britain,2013-12-01,27105,NaN,33442,NaN,62275929,31574000,NaN,NaN,0
K04000001,england and wales,2013-12-01,27169,NaN,33639,NaN,56948229,28940000,NaN,NaN,0
N92000002,northern ireland,2013-12-01,23952,7.73,27839,NaN,1829725,834000,NaN,NaN,0
S92000003,scotland,2013-12-01,26489,7.58,31486,NaN,5327700,2634000,NaN,NaN,0
W92000004,wales,2013-12-01,24103,7.52,27518,NaN,3082412,1395000,NaN,NaN,0
E09000001,city of london,2014-12-01,54710,NaN,82808,34,8072,498000,315,6003,1
E09000002,barking and dagenham,2014-12-01,32698,7.32,36323,23,198294,59000,3780,72668,1
E09000003,barnet,2014-12-01,31162,7.54,34936,38,374915,165000,8675,143948,1
E09000004,bexley,2014-12-01,28505,7.52,31878,54,239865,80000,6429,96186,1
E09000005,brent,2014-12-01,29514,7.24,33484,35,320762,131000,4323,114039,1
E09000006,bromley,2014-12-01,27926,7.71,33458,48,321278,127000,15013,136453,1
E09000007,camden,2014-12-01,36748,7.25,44629,26,234846,379000,2179,101214,1
E09000008,croydon,2014-12-01,31154,7.35,34769,40,376040,142000,8650,150992,1
E09000009,ealing,2014-12-01,28825,7.6,32716,40,342118,159000,5554,129631,1
E09000010,enfield,2014-12-01,25805,7.45,29804,39,324574,127000,8220,123400,1
E09000011,greenwich,2014-12-01,28954,7.33,31690,34,268678,95000,5044,105735,1
E09000012,hackney,2014-12-01,33116,7.43,40241,25,263150,131000,1905,105490,1
E09000013,hammersmith and fulham,2014-12-01,33688,7.56,38677,21,178365,148000,1715,83907,1
E09000014,haringey,2014-12-01,30325,7.38,33616,37,267541,90000,2960,106507,1
E09000015,harrow,2014-12-01,26037,7.49,29957,45,246011,89000,5046,88004,1
E09000016,havering,2014-12-01,30003,7.62,33536,32,245974,90000,11446,99619,1
E09000017,hillingdon,2014-12-01,33984,7.63,42606,44,292690,220000,11570,106917,1
E09000018,hounslow,2014-12-01,33038,7.57,41473,35,265568,164000,5659,98390,1
E09000019,islington,2014-12-01,36751,7.36,59007,33,221030,231000,1486,100258,1
E09000020,kensington and chelsea,2014-12-01,30002,7.65,36844,25,156190,141000,1238,85553,1
E09000021,kingston upon thames,2014-12-01,30768,7.52,35833,46,169958,82000,3726,65886,1
E09000022,lambeth,2014-12-01,34491,7.41,44566,28,318216,180000,2725,134852,1
E09000023,lewisham,2014-12-01,29983,7.33,32256,17,291933,88000,3532,121350,1
E09000024,merton,2014-12-01,27539,7.64,31917,38,203515,97000,3762,82282,1
E09000025,newham,2014-12-01,29061,7.54,33619,17,324322,112000,3857,106760,1
E09000026,redbridge,2014-12-01,31127,7.55,33732,29,293055,89000,5644,102396,1
E09000027,richmond upon thames,2014-12-01,31533,7.54,36975,41,193585,95000,5876,83540,1
E09000028,southwark,2014-12-01,34612,7.43,40893,35,302538,282000,2991,127217,1
E09000029,sutton,2014-12-01,25797,7.6,30752,38,198134,78000,4385,80810,1
E09000030,tower hamlets,2014-12-01,48309,7.54,74087,28,284015,278000,2158,109875,1
E09000031,waltham forest,2014-12-01,26484,7.64,28426,36,268020,84000,3881,99640,1
E09000032,wandsworth,2014-12-01,31085,7.47,35182,21,312145,134000,3522,137757,1
E09000033,westminster,2014-12-01,37260,7.45,51099,19,233292,737000,2203,120367,1
E12000001,north east,2014-12-01,24904,7.57,28957,38,2618710,1162000,NaN,NaN,0
E12000002,north west,2014-12-01,25262,7.56,29901,47,7132991,3523000,NaN,NaN,0
E12000003,yorkshire and the humber,2014-12-01,24999,7.55,28957,44,5360027,2585000,NaN,NaN,0
E12000004,east midlands,2014-12-01,25000,7.64,29346,45,4637413,2232000,NaN,NaN,0
E12000005,west midlands,2014-12-01,24963,7.57,29550,42,5713284,2742000,NaN,NaN,0
E12000006,east,2014-12-01,26817,NaN,32035,49,6018383,2979000,NaN,NaN,0
E12000007,london,2014-12-01,35034,7.49,48263,33,8538689,5603000,159471,3427645,0
E12000008,south east,2014-12-01,28607,7.73,34646,45,8873818,4651000,NaN,NaN,0
E12000009,south west,2014-12-01,25585,7.66,30163,48,5423303,2849000,NaN,NaN,0
E13000001,inner london,2014-12-01,38229,NaN,55238,NaN,3395655,NaN,32796,1447110,0
E13000002,outer london,2014-12-01,30000,NaN,35118,NaN,5143034,NaN,126676,1980536,0
E92000001,england,2014-12-01,27485,7.6,34214,44,54316618,28327000,13303728,23372289,0
K02000001,united kingdom,2014-12-01,27215,NaN,33516,NaN,64596752,33305000,NaN,NaN,0
K03000001,great britain,2014-12-01,27297,NaN,33662,NaN,62756254,32456000,NaN,NaN,0
K04000001,england and wales,2014-12-01,27321,NaN,33881,NaN,57408654,29723000,NaN,NaN,0
N92000002,northern ireland,2014-12-01,24491,7.89,28263,NaN,1840498,848000,NaN,NaN,0
S92000003,scotland,2014-12-01,27038,7.66,31484,NaN,5347600,2733000,NaN,NaN,0
W92000004,wales,2014-12-01,24453,7.56,27759,NaN,3092036,1396000,NaN,NaN,0
E09000001,city of london,2015-12-01,54034,NaN,77754,31,8760,541000,315,6229,1
E09000002,barking and dagenham,2015-12-01,33018,7.45,36705,19,201979,62000,3780,73182,1
E09000003,barnet,2015-12-01,30900,7.53,34730,37,379691,168000,8675,145272,1
E09000004,bexley,2015-12-01,29664,7.41,33367,52,242142,86000,6429,96996,1
E09000005,brent,2015-12-01,29987,7.55,34281,36,324012,136000,4323,115598,1
E09000006,bromley,2015-12-01,30444,7.54,35238,46,324857,124000,15013,136864,1
E09000007,camden,2015-12-01,36970,7.35,45489,25,241059,383000,2179,101653,1
E09000008,croydon,2015-12-01,30628,7.45,34199,38,379031,144000,8650,152515,1
E09000009,ealing,2015-12-01,28657,7.65,31980,43,343059,163000,5554,130528,1
E09000010,enfield,2015-12-01,26230,7.3,31041,36,328433,133000,8220,123799,1
E09000011,greenwich,2015-12-01,30497,7.23,33856,35,274803,96000,5044,106883,1
E09000012,hackney,2015-12-01,31566,7.31,38327,25,269009,136000,1905,106748,1
E09000013,hammersmith and fulham,2015-12-01,34652,7.68,38176,22,179410,154000,1715,85267,1
E09000014,haringey,2015-12-01,30072,7.26,33919,36,272864,93000,2960,106640,1
E09000015,harrow,2015-12-01,26770,7.65,31404,41,247130,88000,5046,88414,1
E09000016,havering,2015-12-01,30591,7.69,33850,32,249085,93000,11446,100261,1
E09000017,hillingdon,2015-12-01,32681,7.46,40529,44,297735,202000,11570,107462,1
E09000018,hounslow,2015-12-01,33717,7.54,43037,34,268770,187000,5659,98787,1
E09000019,islington,2015-12-01,36679,7.29,49576,29,227692,250000,1486,100756,1
E09000020,kensington and chelsea,2015-12-01,31524,7.78,38848,26,157711,150000,1238,86537,1
E09000021,kingston upon thames,2015-12-01,28635,7.71,31728,46,173525,95000,3726,66412,1
E09000022,lambeth,2015-12-01,34852,7.41,45180,29,324431,185000,2725,136263,1
E09000023,lewisham,2015-12-01,30932,7.14,32602,18,297325,83000,3532,122818,1
E09000024,merton,2015-12-01,30040,7.56,32907,35,204565,98000,3762,82707,1
E09000025,newham,2015-12-01,28886,7.73,33127,15,332817,114000,3857,108810,1
E09000026,redbridge,2015-12-01,29098,7.87,33182,28,296793,92000,5644,102653,1
E09000027,richmond upon thames,2015-12-01,32660,7.74,38060,41,194730,102000,5876,83781,1
E09000028,southwark,2015-12-01,36238,7.49,42316,35,308901,289000,2991,128358,1
E09000029,sutton,2015-12-01,27355,7.45,32427,35,200145,80000,4385,81237,1
E09000030,tower hamlets,2015-12-01,46681,7.48,67320,27,295236,298000,2158,110791,1
E09000031,waltham forest,2015-12-01,29352,7.55,30911,35,271170,86000,3881,100311,1
E09000032,wandsworth,2015-12-01,31968,7.53,37251,21,314544,144000,3522,138841,1
E09000033,westminster,2015-12-01,39392,7.6,53316,17,242299,756000,2203,121116,1
E12000001,north east,2015-12-01,25347,7.62,29989,38,2624621,1196000,NaN,NaN,0
E12000002,north west,2015-12-01,25667,7.55,30351,47,7173835,3603000,NaN,NaN,0
E12000003,yorkshire and the humber,2015-12-01,25194,7.65,29371,44,5390576,2694000,NaN,NaN,0
E12000004,east midlands,2015-12-01,25003,7.74,29407,45,4677038,2304000,NaN,NaN,0
E12000005,west midlands,2015-12-01,25682,7.62,30179,42,5751000,2818000,NaN,NaN,0
E12000006,east,2015-12-01,27300,NaN,32484,49,6076451,3053000,NaN,NaN,0
E12000007,london,2015-12-01,35303,7.5,46946,33,8673713,5810000,159471,3454488,0
E12000008,south east,2015-12-01,29031,7.74,35151,45,8947913,4836000,NaN,NaN,0
E12000009,south west,2015-12-01,25950,7.73,30591,48,5471180,2904000,NaN,NaN,0
E13000001,inner london,2015-12-01,38803,NaN,53152,NaN,3472058,NaN,32796,1460827,0
E13000002,outer london,2015-12-01,30382,NaN,35206,NaN,5201655,NaN,126676,1993662,0
E92000001,england,2015-12-01,27841,7.64,34231,43,54786327,29219000,13303728,23542982,0
K02000001,united kingdom,2015-12-01,27615,NaN,33644,NaN,65110034,34270000,NaN,NaN,0
K03000001,great britain,2015-12-01,27682,NaN,33777,NaN,63258413,33409000,NaN,NaN,0
K04000001,england and wales,2015-12-01,27680,NaN,33933,NaN,57885413,30651000,NaN,NaN,0
N92000002,northern ireland,2015-12-01,25719,7.85,29376,NaN,1851621,861000,NaN,NaN,0
S92000003,scotland,2015-12-01,27687,7.68,32217,NaN,5373000,2758000,NaN,NaN,0
W92000004,wales,2015-12-01,24869,7.63,28359,NaN,3099086,1433000,NaN,NaN,0
E09000001,city of london,2016-12-01,55487,NaN,79489,29,9401,586000,315,6306,1
E09000002,barking and dagenham,2016-12-01,30994,7.5,37959,25,206460,63000,3780,73914,1
E09000003,barnet,2016-12-01,32623,7.47,35315,37,386083,169000,8675,146730,1
E09000004,bexley,2016-12-01,NaN,7.46,32666,53,244760,86000,6429,96864,1
E09000005,brent,2016-12-01,30699,7.67,36579,36,328254,148000,4323,116649,1
E09000006,bromley,2016-12-01,30861,7.6,35338,47,326889,134000,15013,137564,1
E09000007,camden,2016-12-01,37817,7.56,45644,27,246181,394000,2179,102618,1
E09000008,croydon,2016-12-01,31479,7.68,NaN,39,382304,149000,8650,154559,1
E09000009,ealing,2016-12-01,29241,7.42,34468,51,343196,168000,5554,131249,1
E09000010,enfield,2016-12-01,28918,7.29,33076,37,331395,129000,8220,124471,1
E09000011,greenwich,2016-12-01,30180,7.28,33568,35,279766,96000,5044,108603,1
E09000012,hackney,2016-12-01,32404,7.26,39387,27,273526,143000,1905,107574,1
E09000013,hammersmith and fulham,2016-12-01,35000,7.47,40291,23,179654,157000,1715,85635,1
E09000014,haringey,2016-12-01,29753,7.56,32799,36,278451,92000,2960,106879,1
E09000015,harrow,2016-12-01,30134,7.64,34743,40,248752,93000,5046,89324,1
E09000016,havering,2016-12-01,28906,7.53,33025,37,252783,100000,11446,101273,1
E09000017,hillingdon,2016-12-01,33093,7.68,39729,43,302471,204000,11570,108171,1
E09000018,hounslow,2016-12-01,36235,7.96,47577,30,271139,197000,5659,99267,1
E09000019,islington,2016-12-01,39894,7.38,52885,32,232865,251000,1486,101783,1
E09000020,kensington and chelsea,2016-12-01,30008,7.52,35249,26,156726,153000,1238,86921,1
E09000021,kingston upon thames,2016-12-01,30729,7.69,34343,47,176107,99000,3726,66651,1
E09000022,lambeth,2016-12-01,34670,7.35,41335,29,327910,175000,2725,137610,1
E09000023,lewisham,2016-12-01,32217,7.18,34588,18,301867,84000,3532,124357,1
E09000024,merton,2016-12-01,28224,7.62,34199,36,205029,94000,3762,83215,1
E09000025,newham,2016-12-01,30743,7.61,36946,14,340978,125000,3857,110251,1
E09000026,redbridge,2016-12-01,28237,7.57,32190,27,299249,94000,5644,102707,1
E09000027,richmond upon thames,2016-12-01,33329,7.71,38572,42,195846,108000,5876,84294,1
E09000028,southwark,2016-12-01,37159,7.37,42583,34,313223,307000,2991,129740,1
E09000029,sutton,2016-12-01,28318,7.66,34818,37,202220,84000,4385,81628,1
E09000030,tower hamlets,2016-12-01,45975,7.75,64345,28,304854,303000,2158,113185,1
E09000031,waltham forest,2016-12-01,27455,7.67,30172,34,275843,86000,3881,101284,1
E09000032,wandsworth,2016-12-01,33405,7.64,37651,22,316096,146000,3522,141579,1
E09000033,westminster,2016-12-01,40000,7.68,53888,17,247614,765000,2203,122024,1
E12000001,north east,2016-12-01,25561,7.61,29574,36,2636848,1173000,NaN,NaN,0
E12000002,north west,2016-12-01,26220,7.59,31145,46,7219623,3726000,NaN,NaN,0
E12000003,yorkshire and the humber,2016-12-01,25946,7.69,29811,43,5425741,2735000,NaN,NaN,0
E12000004,east midlands,2016-12-01,25474,7.73,30085,46,4724437,2398000,NaN,NaN,0
E12000005,west midlands,2016-12-01,26352,7.67,31295,41,5800734,2882000,NaN,NaN,0
E12000006,east,2016-12-01,27892,NaN,33026,49,6130542,3163000,NaN,NaN,0
E12000007,london,2016-12-01,36170,7.54,47924,33,8787892,5982000,159471,3484878,0
E12000008,south east,2016-12-01,29700,7.76,35879,46,9026297,4970000,NaN,NaN,0
E12000009,south west,2016-12-01,26372,7.76,31177,48,5515953,2943000,NaN,NaN,0
E13000001,inner london,2016-12-01,39653,NaN,53688,NaN,3529346,NaN,32796,1476462,0
E13000002,outer london,2016-12-01,31018,NaN,36862,NaN,5258546,NaN,126676,2008417,0
E92000001,england,2016-12-01,28496,7.68,35053,44,55268067,29972000,13303728,23732627,0
K02000001,united kingdom,2016-12-01,28195,NaN,34447,NaN,65648054,35175000,NaN,NaN,0
K03000001,great britain,2016-12-01,28279,NaN,34588,NaN,63785917,34293000,NaN,NaN,0
K04000001,england and wales,2016-12-01,28325,NaN,34758,NaN,58381217,31445000,NaN,NaN,0
N92000002,northern ireland,2016-12-01,25978,7.88,30189,NaN,1862137,882000,NaN,NaN,0
S92000003,scotland,2016-12-01,27925,7.68,32872,NaN,5404700,2849000,NaN,NaN,0
W92000004,wales,2016-12-01,25440,7.65,29150,NaN,3113150,1472000,NaN,NaN,0
E09000001,city of london,2017-12-01,56295,NaN,80655,29,7654,626000,315,6313,1
E09000002,barking and dagenham,2017-12-01,28553,7.66,32093,25,210711,66000,3780,74510,1
E09000003,barnet,2017-12-01,32143,7.63,36818,37,387803,176000,8675,148529,1
E09000004,bexley,2017-12-01,30733,7.42,33857,52,246124,91000,6429,97628,1
E09000005,brent,2017-12-01,30134,7.79,35840,37,329102,157000,4323,118013,1
E09000006,bromley,2017-12-01,29819,7.31,34354,50,329391,134000,15013,138422,1
E09000007,camden,2017-12-01,38147,7.31,44970,30,253361,398000,2179,103826,1
E09000008,croydon,2017-12-01,32109,7.49,35839,38,384837,155000,8650,157394,1
E09000009,ealing,2017-12-01,30259,7.55,36039,49,342736,168000,5554,132094,1
E09000010,enfield,2017-12-01,29134,7.34,34096,36,332705,126000,8220,125369,1
E09000011,greenwich,2017-12-01,32635,7.47,35702,35,282849,102000,5044,110983,1
E09000012,hackney,2017-12-01,33618,7.34,42457,27,275929,139000,1905,108770,1
E09000013,hammersmith and fulham,2017-12-01,36972,7.34,45218,24,182998,159000,1715,86609,1
E09000014,haringey,2017-12-01,31442,7.6,35729,33,271224,92000,2960,107620,1
E09000015,harrow,2017-12-01,31255,7.79,39293,41,248880,97000,5046,89980,1
E09000016,havering,2017-12-01,29134,7.58,33432,37,256039,103000,11446,101716,1
E09000017,hillingdon,2017-12-01,33596,7.55,41156,40,302343,216000,11570,108935,1
E09000018,hounslow,2017-12-01,34119,7.34,42932,30,269100,186000,5659,99824,1
E09000019,islington,2017-12-01,39348,7.38,52752,29,235000,247000,1486,102457,1
E09000020,kensington and chelsea,2017-12-01,31678,7.31,38625,26,155741,166000,1238,87276,1
E09000021,kingston upon thames,2017-12-01,31308,7.6,36139,48,174609,100000,3726,66924,1
E09000022,lambeth,2017-12-01,35036,7.42,40458,30,324048,188000,2725,138745,1
E09000023,lewisham,2017-12-01,33294,7.31,35454,22,301307,88000,3532,125961,1
E09000024,merton,2017-12-01,29627,7.55,35907,37,206052,104000,3762,83649,1
E09000025,newham,2017-12-01,30770,7.47,38661,14,347996,125000,3857,112628,1
E09000026,redbridge,2017-12-01,29189,7.55,32792,24,301785,97000,5644,103462,1
E09000027,richmond upon thames,2017-12-01,32141,7.73,39407,42,195680,106000,5876,84759,1
E09000028,southwark,2017-12-01,37601,7.47,44008,35,314232,317000,2991,132152,1
E09000029,sutton,2017-12-01,27945,7.91,35113,50,203243,85000,4385,82281,1
E09000030,tower hamlets,2017-12-01,49369,7.51,75103,26,307964,317000,2158,118012,1
E09000031,waltham forest,2017-12-01,28284,7.73,31049,32,275505,88000,3881,102317,1
E09000032,wandsworth,2017-12-01,33137,7.64,40076,22,323257,151000,3522,143915,1
E09000033,westminster,2017-12-01,42152,7.57,59878,19,244796,754000,2203,123366,1
E12000001,north east,2017-12-01,25904,7.66,30415,35,2644727,1208000,NaN,NaN,0
E12000002,north west,2017-12-01,26754,7.68,31733,45,7258627,3778000,NaN,NaN,0
E12000003,yorkshire and the humber,2017-12-01,26309,7.66,30484,42,NaN,2759000,NaN,NaN,0
E12000004,east midlands,2017-12-01,25882,7.72,30566,44,4771666,2389000,NaN,NaN,0
E12000005,west midlands,2017-12-01,26837,7.67,31930,40,5860706,2990000,NaN,NaN,0
E12000006,east,2017-12-01,28456,NaN,33887,49,6168432,3218000,NaN,NaN,0
E12000007,london,2017-12-01,37171,7.52,50285,33,8825001,6125000,159471,3524438,0
E12000008,south east,2017-12-01,30236,7.76,36442,47,9080825,4897000,NaN,NaN,0
E12000009,south west,2017-12-01,27119,7.76,31645,49,5559316,2993000,NaN,NaN,0
E13000001,inner london,2017-12-01,40675,NaN,56859,NaN,3545507,NaN,32796,1497650,0
E13000002,outer london,2017-12-01,31298,NaN,36752,NaN,5279494,NaN,126676,2026789,0
E92000001,england,2017-12-01,29083,7.68,36076,43,55619430,30359000,13303728,23949972,0
K02000001,united kingdom,2017-12-01,28759,NaN,35398,NaN,66040229,35547000,NaN,NaN,0
K03000001,great britain,2017-12-01,28869,NaN,35564,NaN,64169395,34656000,NaN,NaN,0
K04000001,england and wales,2017-12-01,28939,NaN,35779,NaN,58744595,31823000,NaN,NaN,0
N92000002,northern ireland,2017-12-01,25935,7.92,30254,NaN,1870834,891000,NaN,NaN,0
S92000003,scotland,2017-12-01,28335,7.71,33383,NaN,5424800,2833000,NaN,NaN,0
W92000004,wales,2017-12-01,26026,7.69,29976,NaN,3125165,1464000,NaN,NaN,0
E09000001,city of london,2018-12-01,61203,NaN,90028,30,8706,640000,315,6451,1
E09000002,barking and dagenham,2018-12-01,29995,7.52,32671,24,211998,66000,3780,74923,1
E09000003,barnet,2018-12-01,29927,7.55,36776,35,392140,170000,8675,150737,1
E09000004,bexley,2018-12-01,NaN,7.54,34496,54,247258,87000,6429,97905,1
E09000005,brent,2018-12-01,30366,7.71,35830,37,330795,157000,4323,118707,1
E09000006,bromley,2018-12-01,30762,7.57,35201,50,331096,127000,15013,138976,1
E09000007,camden,2018-12-01,39198,7.48,46502,31,262226,403000,2179,104771,1
